JokeId,JokeText,Wordplay,Observational,Character_based,Satire,Absurd,Dark,JokeWords,KeyWords
54,"The Pope dies and, naturally, goes to heaven. He's met by the reception
committee, and after a whirlwind tour he is told that he can enjoy any
of the myriad of recreations available.
He decides that he wants to read all of the ancient original text of the
Holy Scriptures, so he spends the next eon or so learning languages.
After becoming a linguistic master, he sits down in the library and
begins to pour over every version of the Bible, working back from most
recent ""Easy Reading"" to the original script.
All of a sudden there is a scream in the library. The Angels come
running in only to find the Pope huddled in his chair, crying to himself
and muttering, ""An 'R'! The scribes left out the 'R'."" 
A particularly concerned Angel takes him aside, offering comfort, asks
him what the problem is and what does he mean. 
After collecting his
wits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'.
The word was supposed to be CELEBRATE!""
",1,0,0,0,0,0,pope dy naturally go heaven met reception committee whirlwind tour told enjoy myriad recreation available decides want read ancient original text holy scripture spends next eon learning language becoming linguistic master sits library begin pour every version bible working back recent easy reading original script sudden scream library angel come running find pope huddled chair cry muttering r scribe left r particularly concerned angel take aside offering comfort asks problem mean collecting wit pope sob letter r left r word supposed celebrate,go met told want next language sits every back recent come find left take asks problem left word
55,"A woman has twins, and gives them up for adoption.  One of
them goes to a family in Egypt and is named ""Amal.""  The other goes to
a  family in Spain; they name him ""Juan.""  Years later, Juan sends a
picture of himself to his mom.  Upon receiving the picture, she tells
her husband that she wishes she also had a picture of Amal.  
Her husband responds, ""But they are twins-if you've seen Juan, you've
seen   Amal.
",1,0,0,0,0,0,woman twin give adoption one go family egypt named amal go family spain name juan year later juan sends picture mom upon receiving picture tell husband wish also picture amal husband responds twin seen juan seen amal,woman give one go go year later upon tell husband husband
56,"A man and Cindy Crawford get stranded on a desert island.  After a couple
of days they fall in love and start sleeping together.  Time pass the
man seems frustrated, Cindy asks if there is anything she can do?  He
says there is one thing, ""Could you put on this baseball cap and go to
the other side of the island and answer me when I call you Bob?""  She
agrees.  Next day he is walking on the other side of the island, runs
into her and says ""Hi Bob!""  
She says ""Hello, what's up?""  
He replies: ""Bob you won't believe it: I've been sleeping with Cindy
Crawford for the past two weeks!!!!""
",0,0,1,0,0,0,man cindy crawford get stranded desert island couple day fall love start sleeping together time pas man seems frustrated cindy asks anything say one thing could put baseball cap go side island answer call bob agrees next day walking side island run say hi bob say hello reply bob believe sleeping cindy crawford past two week,man get couple day love start sleeping together time pas man asks anything say one thing could put go answer call next day run say say reply sleeping two
57,"Why are there so many Jones's in the phone book?
Because they all have phones.
",1,0,0,0,0,0,many jones phone book phone,many phone phone
58,"How many teddybears does it take to change a lightbulb?

It takes only one teddybear, but it takes a whole lot of lightbulbs.
",0,0,1,0,1,0,many teddybears take change lightbulb take one teddybear take whole lot lightbulb,many take change lightbulb take one take whole lot lightbulb
59,"The Chukcha (Russian Eskimo) phones up the Russian Parliament Building.  
A guard answers. 
Chukcha:  ""What is required to become Parliament member?""
Guard:  ""What are you, an idiot?""
Chukcha:  ""Is it required?""
",1,0,0,0,1,0,chukcha russian eskimo phone russian parliament building guard answer chukcha required become parliament member guard idiot chukcha required,phone answer
60,"What did the Buddhist say to the hot dog vendor?
Make me one with everything.
",1,0,0,0,0,0,buddhist say hot dog vendor make one everything,say hot make one everything
61,"During a recent publicity outing, Hillary sneaked off to visit a
fortune teller of some local repute.  In a dark and hazy room, peering
into a crystal ball, the mystic delivered grave news.
""There's no easy way to say this, so I'll just be blunt: Prepare
yourself to be a widow.  Your husband will die a violent and horrible
death this year.""
Visibly shaken, Hillary stared at the woman's lined face, then at 
the single flickering candle, then down at her hands.  She took a few 
deep breaths to compose herself.  She simply had to know.  She met the
fortune teller's gaze, steadied her voice, and asked her question.
""Will I be acquitted?""
",0,0,0,1,0,0,recent publicity outing hillary sneaked visit fortune teller local repute dark hazy room peering crystal ball mystic delivered grave news easy way say blunt prepare widow husband die violent horrible death year visibly shaken hillary stared woman lined face single flickering candle hand took deep breath compose simply know met fortune teller gaze steadied voice asked question acquitted,recent hillary room news say husband year hillary woman hand took know met voice asked question
62,"A group of  managers were given the assignment to measure the
height of a flagpole. So they go out to the flagpole with ladders
and tape measures, and they're falling off the ladders, dropping
the tape measures - the whole thing is just a mess.
An engineer comes along and sees what they're trying to do,
walks over, pulls the flagpole out of the ground, lays it flat,
measures it from end to end, gives the measurement to one of the
managers and walks away.
After the engineer has gone, one manager turns to another and
laughs. ""Isn't that just like an engineer, we're looking for the 
height and he gives us the length.""
",0,0,1,0,0,0,group manager given assignment measure height flagpole go flagpole ladder tape measure falling ladder dropping tape measure whole thing mess engineer come along see trying walk pull flagpole ground lay flat measure end end give measurement one manager walk away engineer gone one manager turn another laugh like engineer looking height give u length,group go whole thing mess engineer come see walk pull ground end end give one walk away engineer one turn another like engineer looking give
63,"An engineer, a physicist and a mathematician are sleeping in a
room. There is a fire in the room. The engineer wakes up, sees the fire,
picks up the bucket of water and douses the fire and goes back to
sleep. 

Again there is fire in the room. This time, the physicist wakes
up, notices the bucket, fills it with water, calculates the optimal
trajectory and douses the fire in minimum amount of water and goes
back to sleep. 

Again there is fire. This time the mathematician wakes up. 
He looks at the fire, looks at the bucket and the water and
exclaims, ""A solution exists"" and goes back to sleep.
",0,0,1,0,0,0,engineer physicist mathematician sleeping room fire room engineer wake see fire pick bucket water douses fire go back sleep fire room time physicist wake notice bucket fill water calculates optimal trajectory douses fire minimum amount water go back sleep fire time mathematician wake look fire look bucket water exclaims solution exists go back sleep,engineer sleeping room room engineer wake see go back sleep room time wake notice go back sleep time wake look look go back sleep
64,"What is the rallying cry of the International Dyslexic Pride movement?
Dyslexics Untie!
",1,0,0,0,0,0,rallying cry international dyslexic pride movement dyslexics untie,
65,"Two Rednecks were seated at the end of a bar when a young lady
seated a few stools up began to choke on a piece of hamburger.  She was
turning blue and obviously in serious respiratory distress.
One said to the other, ""That gal there is having a bad time!"" 
The other agreed and said ""Think we should go help?""  ""You bet,"" said the
first,and with that, he ran over and said, ""Can you breathe??""  She shook
her head no.  He said, ""Can you speak??""  She again shook her head no.
With that, he pulled up her skirt and licked her on the butt.
She was so shocked, she coughed up the obstruction and began to
breathe-with great relief.
The redneck walked back to his
friend and said, ""Funny how that hind lick maneuver always works.""
",0,0,1,0,0,1,two redneck seated end bar young lady seated stool began choke piece hamburger turning blue obviously serious respiratory distress one said gal bad time agreed said think go help bet said first ran said breathe shook head said speak shook head pulled skirt licked butt shocked coughed obstruction began breathe great relief redneck walked back friend said funny hind lick maneuver always work,two end bar young one said bad time said think go said first said head said head great back said funny work
66,"A lawyer opened the door of his BMW, when suddenly a car came along
and hit the door, ripping it off completely.  When the police arrived
at the scene, the lawyer was complaining bitterly about the damage to
his precious BMW.  
""Officer, look what they've done to my Beeeeemer!!!"", he whined.  
""You lawyers are so materialistic, you make
me sick!!!""  retorted the officer.  ""You're so worried about your
stupid BMW, that you didn't even notice that your left arm was ripped
off!!!""  
""Oh my gaaaad..."", replied the lawyer, finally noticing the
bloody left shoulder where his arm once was.  ""Where's my
Rolex???!!!!""
",0,0,1,1,0,0,lawyer opened door bmw suddenly car came along hit door ripping completely police arrived scene lawyer complaining bitterly damage precious bmw officer look done beeeeemer whined lawyer materialistic make sick retorted officer worried stupid bmw even notice left arm ripped oh gaaaad replied lawyer finally noticing bloody left shoulder arm rolex,door car came door look make notice left oh replied finally left
67,"Once upon a time, two brooms fell in love and decided to get married.
Before the ceremony, the bride broom informed the groom broom that 
she was expecting a little whiskbroom. The groom broom was aghast!

""How is this possible?"" he asked. ""We've never swept together!
",1,0,0,0,0,0,upon time two broom fell love decided get married ceremony bride broom informed groom broom expecting little whiskbroom groom broom aghast possible asked never swept together,upon time two love get married little asked never together
68,"A man piloting a hot air balloon discovers he has wandered off course and
is hopelessly lost. He descends to a lower altitude and locates a man
down on the ground. He lowers the balloon further and shouts ""Excuse me,
can you tell me where I am?""

The man below says: ""Yes, you're in a hot air balloon, about 30 feet
above this field.""

""You must work in Information Technology,"" says the balloonist.

""Yes I do,"" replies the man. ""And how did you know that?""

""Well,"" says the balloonist, ""what you told me is technically correct,
but of no use to anyone.""

The man below says, ""You must work in management.""

""I do,"" replies the balloonist, ""how did you know?""

""Well,"" says the man, ""you don't know where you are, or where you're
going, but you expect my immediate help. You're in the same position you
were before we met, but now it's my fault!""

",0,0,1,1,0,0,man piloting hot air balloon discovers wandered course hopelessly lost descends lower altitude locates man ground lower balloon shout excuse tell man say yes hot air balloon 30 foot field must work information technology say balloonist yes reply man know well say balloonist told technically correct use anyone man say must work management reply balloonist know well say man know going expect immediate help position met fault,man hot man ground tell man say yes hot 30 foot must work say yes reply man know well say told use man say must work reply know well say man know going met
69,"This guys wife asks, ""Honey if I died would you remarry?"" and he replies,
""Well, after a considerable period of grieving, we all need
companionship, I guess I would.""

She then asks, ""If I died and you remarried, would she live in this
house?"" and he replies, ""We've spent a lot of time and money getting this
house just the way we want it. I'm not going to get rid of my house, I
guess she would.""

""If I died and you remarried, and she lived in this house, would she
sleep in our bed?"" and he says, ""That bed is brand new, we just paid two
thousand dollars for it, it's going to last a long time, I guess she
would.""

So she asks, ""If I died and you remarried, and she lived in this house,
and slept in our bed, would she use my golf clubs?""

""Oh no, she's left handed.""
",1,0,1,0,0,0,guy wife asks honey died would remarry reply well considerable period grieving need companionship guess would asks died remarried would live house reply spent lot time money getting house way want going get rid house guess would died remarried lived house would sleep bed say bed brand new paid two thousand dollar going last long time guess would asks died remarried lived house slept bed would use golf club oh left handed,guy wife asks would reply well need would asks would reply lot time want going get would would sleep say new paid two thousand dollar going last long time would asks would use oh left
70,"Employer to applicant: ""In this job we need someone who is responsible.""

Applicant: ""I'm the one you want. On my last job, every time anything
went wrong, they said I was responsible.""

",0,0,1,0,0,0,employer applicant job need someone responsible applicant one want last job every time anything went wrong said responsible,need someone one want last every time anything went said
71,"At a recent Sacramento PC Users Group meeting,
a company was demonstrating its latest speech-
recognition software.   A representative from the
company was just about ready to start the
demonstration and asked everyone in the room
to quiet down.

Just then someone in the back of the room yelled,
""Format C: Return.""

Someone else chimed in:
""Yes, Return""

Unfortunately, the software worked.

",0,1,1,0,0,0,recent sacramento pc user group meeting company demonstrating latest speech recognition software representative company ready start demonstration asked everyone room quiet someone back room yelled format c return someone else chimed yes return unfortunately software worked,recent group company company start asked everyone room someone back room return someone else yes return worked
72,"On the first day of college, the Dean addressed the students,
pointing out some of the rules:

""The female dormitory will be out-of-bounds for all male students
and the male dormitory to the female students. Anybody caught breaking
this rule will be finded $20 the first time."" He continued, ""Anybody 
caught breaking this rule the second time will be fined $60. Being caught
a third time will cost you a fine of $180. Are there any questions ?""

At this point, a male student in the crowd inquired:
""How much for a season pass ?""
",0,0,1,0,0,0,first day college dean addressed student pointing rule female dormitory bound male student male dormitory female student anybody caught breaking rule finded $ 20 first time continued anybody caught breaking rule second time fined $ 60 caught third time cost fine $ 180 question point male student crowd inquired much season pas,first day student student student first time second time time fine question student much pas
73,"Q: What is the difference between George  Washington, Richard Nixon,
and Bill Clinton?

A: Washington couldn't tell a lie, Nixon couldn't   tell the truth, and
Clinton doesn't know the difference.
",1,0,1,0,0,0,difference george washington richard nixon bill clinton washington tell lie nixon tell truth clinton know difference,difference bill clinton tell tell clinton know difference
74,"Q: How many stalkers does it take to change a light bulb?

A: Two. One to replace the bulb, and the other to watch it day and night.
",0,0,1,0,0,1,many stalker take change light bulb two one replace bulb watch day night,many take change light bulb two one bulb day
75,"Q: Do you know the difference between an intelligent male and the
Sasquatch?

A: There have been actual reported sightings of the Sasquatch.
",0,0,1,0,0,0,know difference intelligent male sasquatch actual reported sighting sasquatch,know difference
76,"There once was a man and a woman that both  got in  a terrible car wreck. Both of their vehicles  
were completely destroyed, buy fortunately, no one  was   hurt.  In thankfulness, the woman said to the 
man, 'We are both okay, so we should celebrate. I have   a  bottle of wine in my car, let's open it.'         
So the woman got the bottleout of the car, and  handed it to the man. The man took a really big drink, 
and handed the woman the bottle. The  woman  closed the bottle and put it down. The man  asked,  
'Aren't you going to take a drink?' 

The woman cleverly replied, 
'No, I think I'll  just  wait for the cops to get here.'
",0,0,1,0,0,1,man woman got terrible car wreck vehicle completely destroyed buy fortunately one hurt thankfulness woman said man okay celebrate bottle wine car let open woman got bottleout car handed man man took really big drink handed woman bottle woman closed bottle put man asked going take drink woman cleverly replied think wait cop get,man woman got car one woman said man okay car woman got car man man took big drink woman woman put man asked going take drink woman replied think get
77,"If pro- is the opposite of con- then congress must be the opposite
of progress.
",1,0,0,0,0,0,pro opposite con congress must opposite progress,must
78,"Q: What's the difference between the government  and  the Mafia?

A: One of them is organized.
",0,0,0,1,0,0,difference government mafia one organized,difference one
79,"Q: Ever wonder why the IRS calls it Form 1040?

A: Because for every $50 that you earn, you get 10 and they get 40.
",0,0,0,1,0,0,ever wonder irs call form 1040 every $ 50 earn get 10 get 40,call every 50 get 10 get
80,"Hillary, Bill Clinton and the Pope are sitting together on an airplane.

Bill says ""I could throw one thousand dollar bill out of this plane and
make one person very happy.""

Hillary says ""I could throw 10 hundred dollar bills out of the plane and
make 10 people very happy.""

The Pope chips in and says ""I could throw Bill out of the airplane and make the whole 
country happy.""
",0,0,1,0,0,0,hillary bill clinton pope sitting together airplane bill say could throw one thousand dollar bill plane make one person happy hillary say could throw 10 hundred dollar bill plane make 10 people happy pope chip say could throw bill airplane make whole country happy,hillary bill clinton together bill say could one thousand dollar bill make one person hillary say could 10 dollar bill make 10 say could bill make whole country
81,"An Asian man goes into a New York CityBank to exchange 10,000 yen for
American Currency.  The teller gives him $72.00.  The next month the
Asian man goes into the same bank with 10,000 yen and receives $62.00.
He asks, ""How come? Only $62.00?"" The teller says ""Fluctuations-
Fluctuations!""

Whereupon the Asian man looks back at the teller and says ""Fluk you
Amelicans too!""
",0,0,1,0,0,0,asian man go new york citybank exchange 10 000 yen american currency teller give $ 72 00 next month asian man go bank 10 000 yen receives $ 62 00 asks come $ 62 00 teller say fluctuation fluctuation whereupon asian man look back teller say fluk amelicans,man go new 10 000 american give next man go 10 000 asks come say man look back say
82,"Q: How do you keep a computer programmer in the 
shower all day long?

A: Give them a shampoo with a label that says
""rinse, lather, repeat"".
",1,0,0,0,0,0,keep computer programmer shower day long give shampoo label say rinse lather repeat,day long give say
83,"What a woman says:

""This place is a mess!  C'mon,
You and I need to clean up,
Your stuff is lying on the floor and
you'll have no clothes to wear,
if we don't do laundry right now!""

What a man hears:

blah, blah, blah, blah, C'mon
blah, blah, blah, blah, you and I
blah, blah, blah, blah, on the floor
blah, blah, blah, blah, no clothes
blah, blah, blah, blah, RIGHT NOW!
",0,0,1,0,0,0,woman say place mess c mon need clean stuff lying floor clothes wear laundry right man hears blah blah blah blah c mon blah blah blah blah blah blah blah blah floor blah blah blah blah clothes blah blah blah blah right,woman say mess need man
84,"Q: What is the difference between Mechanical Engineers and Civil 
Engineers?
 
A: Mechanical Engineers build weapons, Civil Engineers build targets.
",0,0,1,0,0,0,difference mechanical engineer civil engineer mechanical engineer build weapon civil engineer build target,difference mechanical engineer engineer mechanical engineer engineer
85,"Q: How many Presidents does it take to screw in a light bulb?

A: It depends upon your definition of screwing a light bulb.
",0,0,0,1,0,0,many president take screw light bulb depends upon definition screwing light bulb,many president take screw light bulb upon light bulb
86,"A neutron walks into a bar and orders a drink.
""How much do I owe you?"" the neutron asks.

The bartender replies, ""for you, no charge.""
",1,0,0,0,0,0,neutron walk bar order drink much owe neutron asks bartender reply charge,walk bar order drink much asks bartender reply
87,"A man, recently completing a routine physical examination receives a
phone call from his doctor.  The doctor says, ""I have some good news and
some bad news.""  The man says, ""OK, give me the good news first.""  The
doctor says, ""The good news is, you have 24 hours to live.""  The man
replies, ""Shit!  That's the good news?  Then what's the bad news?""

The doctor says, ""The bad news is, I forgot to call you yesterday.""
",0,0,0,0,0,1,man recently completing routine physical examination receives phone call doctor doctor say good news bad news man say ok give good news first doctor say good news 24 hour live man reply shit good news bad news doctor say bad news forgot call yesterday,man phone call doctor doctor say good news bad news man say give good news first doctor say good news man reply good news bad news doctor say bad news call
88,"A Czechoslovakian man felt his eyesight was growing steadily worse, and 
felt it was time to go see an optometrist. 

The doctor started with some simple testing, and showed him a standard eye 
chart with letters of
diminishing size: CRKBNWXSKZY. . . 

""Can you read this?"" the doctor asked. 

""Read it?"" the Czech answered. ""Doc, I know him!""
",1,0,0,0,0,0,czechoslovakian man felt eyesight growing steadily worse felt time go see optometrist doctor started simple testing showed standard eye chart letter diminishing size crkbnwxskzy read doctor asked read czech answered doc know,man time go see doctor started doctor asked know
89,"A radio conversation of a US naval 
ship with Canadian authorities ... 

Americans: Please divert your course 15 degrees to the North to avoid a
collision.

Canadians: Recommend you divert YOUR course 15 degrees to the South to 
avoid a collision.

Americans: This is the Captain of a US Navy ship.  I say again, divert 
YOUR course.

Canadians: No.  I say again, you divert YOUR course.

Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship.

Canadians: This is a lighthouse.  Your call.
",0,0,0,1,0,0,radio conversation u naval ship canadian authority american please divert course 15 degree north avoid collision canadian recommend divert course 15 degree south avoid collision american captain u navy ship say divert course canadian say divert course american aircraft carrier us lincoln second largest ship united state atlantic fleet accompanied three destroyer three cruiser numerous support vessel demand change course 15 degree north one five degree north counter measure undertaken ensure safety ship canadian lighthouse call,american american say say american second state three three change one call
90,"Q: How many programmers does it take to change a lightbulb?

A: NONE!   That's a hardware problem....
",1,0,1,0,0,0,many programmer take change lightbulb none hardware problem,many take change lightbulb problem
91,"A Panda bear walks into a bar.  Sits down at a table and orders a beer 
and a double cheeseburger.  After he is finished eating, he pulls out a gun
and rips the place with gunfire.  Patrons scatter and dive under chairs and
tables as the bear runs out the door.  After ensuring that no one is hurt, 
the bartender races out the door, and calls after the bear ""What the hell did
you do that for?""  The bear calls back, ""I'm a Panda bear.  Look it up in the
dictionary.""  

The bartender returns, pulls out his dictionary.

panda : \Pan""da\, n. (Zo[""o]l.)
A small Asiatic mammal (Ailurus fulgens) having fine soft fur.
It is related to the bears, and inhabits the mountains of Northern India.
Eats shoots and leaves.
",1,0,0,0,1,0,panda bear walk bar sits table order beer double cheeseburger finished eating pull gun rip place gunfire patron scatter dive chair table bear run door ensuring one hurt bartender race door call bear hell bear call back panda bear look dictionary bartender return pull dictionary panda pan da n zo l small asiatic mammal ailurus fulgens fine soft fur related bear inhabits mountain northern india eats shoot leaf,walk bar sits order beer eating pull run door one bartender door call hell call back look bartender return pull fine
92,"Early one morning a mother went to her sleeping son and woke him up.

""Wake up, son.  It's time to go to school."" 
""But why, Mama?  I don't want to go to school."" 
""Give me two reasons why you don't want to go to school."" 
""One, all the children hate me. Two, all the teachers hate me,"" 
""Oh! that's no reason. Come on, you have to go to school,"" 

""Give me two good reasons WHY I should go to school?"" 
 
""One, you are fifty-two years old. Two, you are the principal of the
 school.""
 ",0,0,1,0,1,0,early one morning mother went sleeping son woke wake son time go school mama want go school give two reason want go school one child hate two teacher hate oh reason come go school give two good reason go school one fifty two year old two principal school,one morning mother went sleeping son wake son time go school want go school give two want go school one two teacher oh come go school give two good go school one two year old two school
93,"Reaching the end of a job interview, the human resources person asked a
young engineer fresh out of Stanford,

""And what starting salary were you looking for?""

The engineer said, ""In the neighborhood of $125,000 a year, depending
on the benefits package.""

The interviewer said, ""Well, what would you say to a package of 5-weeks 
vacation, 14 paid holidays, full medical and dental, company matching 
retirement fund to 50% of salary, and a company car leased every 2 years - 
say, a red Corvette?""

The Engineer sat up straight and said, ""Wow! Are you kidding?""

And the interviewer replied, ""Yeah, but you started it.""
",0,0,1,0,0,0,reaching end job interview human resource person asked young engineer fresh stanford starting salary looking engineer said neighborhood $ 125 000 year depending benefit package interviewer said well would say package 5 week vacation 14 paid holiday full medical dental company matching retirement fund 50 salary company car leased every 2 year say red corvette engineer sat straight said wow kidding interviewer replied yeah started,end person asked young engineer looking engineer said 000 year said well would say paid company 50 company car every year say engineer straight said replied started
94,"Two atoms are walking down the street when one 
atom says to the other 
""Oh, my! I've lost an electron!""

The second atom says""Are you sure""

The first replies ""I'm positive!""
",1,0,0,0,0,0,two atom walking street one atom say oh lost electron second atom say sure first reply positive,two one say oh second say first reply
95,"Just a thought ..

Before criticizing someone, walk a mile in their shoes.  

Then when you do criticize them, 
you will be a mile away and have their shoes !
",1,0,0,0,0,0,thought criticizing someone walk mile shoe criticize mile away shoe,someone walk away
96,"Two attorneys went into a diner and ordered two drinks.  Then they produced 
sandwiches from their briefcases and started to eat.  The owner became
quite concerned and marched over and told them, ""You can't eat your own
sandwiches in here!""

The attorneys looked at each other, shrugged their shoulders and then
exchanged sandwiches.
",0,0,1,0,0,0,two attorney went diner ordered two drink produced sandwich briefcase started eat owner became quite concerned marched told eat sandwich attorney looked shrugged shoulder exchanged sandwich,two went two drink started told
97,"A teacher is explaining to her class how different languages use 
negatives differently.  She says, ""In all languages, a positive followed
by a negative or a negative followed by a positive makes a negative.  In
some languages, two negatives together make a positive, while in others they
make a negative.  But in no language do two positives make a negative.""  

One of the students puts up his hand and says, ""Yeah, right.""
",1,0,0,0,0,0,teacher explaining class different language use negative differently say language positive followed negative negative followed positive make negative language two negative together make positive others make negative language two positive make negative one student put hand say yeah right,teacher language use say language make language two together make make language two make one student put hand say
98,"Age and Womanhood

1. Between the ages of 13 and 18 ...
She is like Africa, virgin and unexplored. 

2. Between the ages of 19 and 35 ...
She is like Asia, hot and exotic. 

3. Between the ages of 36 and 45 ...
She is like America, fully explored, breathtakingly beautiful,and free with her resources.

4. Between the ages of 46 and 56 ...
She is like Europe, exhausted but still has points of interest. 

5. After 56 she is like Australia ...
Everybody knows it's down there, but who gives a damn?
",0,0,1,0,0,0,age womanhood 1 age 13 18 like africa virgin unexplored 2 age 19 35 like asia hot exotic 3 age 36 45 like america fully explored breathtakingly beautiful free resource 4 age 46 56 like europe exhausted still point interest 5 56 like australia everybody know give damn,like like hot like beautiful like like know give
99,"A bus station is where a bus stops.
A train station is where a train stops.

On my desk I have a work station...
",1,0,0,0,0,0,bus station bus stop train station train stop desk work station,work
100,"Q: Whats the difference between greeting a Queen and greeting the
President of the United  States?

A: You only have to get on one knee to greet the queen.
",0,0,1,0,0,0,whats difference greeting queen greeting president united state get one knee greet queen,difference president state get one
